SYNLOX,COMPETENCIA,MARCA,CONDICION_ESPECIAL,TIPO_LUBRICANTE,FICHA_TECNICA_URL
SYNLOX THERM FLUID SH (SINTÉTICO PAO) (ISO 16),-,TEXAS REFINERY,,Aceite,
SYNLOX WIRE DRAWN OIL(MINERAL)(ISO 150),,TEXAS REFINERY,,Aceite,
SYNLOX GEAR OIL GL-1(MINERAL)(SAE 250),,TEXAS REFINERY,,Aceite,
SYNLOX SILICÓN OIL(SILICON)(ISO 1000),,TEXAS REFINERY,,Aceite,
"SYNLOX GEAR FG OIL (H1) (MINERAL) (ISO 150,220, 320 Y 460)","ACEITE SHC CIBUS (ISO 150, 220,320 Y 460)",EXXONMOBIL,,Aceite,
SYNLOX HYDRA FG OIL (H1) (MINERAL) (ISO 46 Y 68),"ACEITE SHC CIBUS (ISO 46, 68 Y 100)",EXXONMOBIL,,Aceite,
SYNLOX AERO FG (H1) (MINERAL) (ISO 32),-,EXXONMOBIL,,Aceite,
"SYNLOX SPLASH & PARATAC (MINERAL) (SAE 10,20,30 Y 40)",-,EXXONMOBIL,,Aceite,
SYNLOX SYNPLEX CHAIN (SINTÉTICO) (ISO 220),MOBIL SYNTHETIC OVEN LUBE 1090(MINERAL) (ISO 220),EXXONMOBIL,,Aceite,
"SYNLOX SYNPLEX MOLY CHAIN (MOLY) (MINERAL) (SAE10,20,30 Y 40)",-,EXXONMOBIL,,Aceite,
SYNLOX SYNPLEX MOLY CHAIN (AEROSOL) (MOLY) (MINERAL) (ISO 46),-,EXXONMOBIL,,Aceite,
"SYNLOX GEAR OIL (FÓSFORO) (MINERAL) (SAE 75,80W90,85W140)","MOBIL SHC GEAR SERIES(SINTETICO) (MINERAL ISO 150,220,320,40,680 Y,1000)",EXXONMOBIL,,Aceite,
"SYNLOS SYNGEAR OIL (SINTÉTICO) (ISO 150,220,320,460,680 Y 1000)","MOBIL SHC GEAR SERIES(SINTETICO) (MINERAL ISO 150,220,320,40,680 Y 1000)",EXXONMOBIL,,Aceite,
"SYNLOS UNIVERSAL GEAR (AZUFRE) (MINERAL) (ISO 150, 220, 320 Y 460)","MOBIL SHC GEAR SERIES(SINTETICO) (MINERAL ISO 150,220,320,40,680 Y 1000)",EXXONMOBIL,,Aceite,
"SYNLOX HYDRA EP (MINERAL) (SAE 10,20,30 Y 40)","MOBIL DTE SERIES, MOBIL DTE FM SERIES, MOBIL DTE EXCEL SERIES (ISO 10,22, 32,68,100 Y 150)",EXXONMOBIL,,Aceite,
"SYNLOX PRESSURE R&O (MINERAL) (SAE 10,20,30 Y 40)","ACEITE SHC RARUS (SINTETICO ISO 32, 46 Y 68)",EXXONMOBIL,,Aceite,
"SYNLOX SYNPRESSURE (SINTÉTICO) (SAE 10,20 Y 30)","ACEITE SHC RARUS (SINTETICO ISO 32, 46 Y 68)",EXXONMOBIL,,Aceite,
"SYNLOX HEAT TRANSFER (MINERAL) (ISO 22,46 Y 68)","MOBILTHERM 600 (MINERAL ISO 22, 32,100)",EXXONMOBIL,,Aceite,
"SYNLOX RANCING MOTOR OIL (MINERAL) (SAE 10W30,15W40 Y 20W50)","MOBIL MULTIGRADO (MINERAL) ( SAE 5W 30, 10W 30, 15W 40 Y 20W 50)",EXXONMOBIL,,Aceite,
SYNLOX ONE MOTOR OSIL SL/SF (MINERAL) (SAE 40 Y 50),MOBIL MONOGRADO (MINERAL) (SAE 40 Y 50),EXXONMOBIL,,Aceite,
"SYNLOX SYN MOTOR OIL SL/SF (SINTÉTICO) (5W30,15W40 Y 20W50)",MOBIL SUPER SYNTHETIC(SINTÉTICO) ( 5W 50),EXXONMOBIL,,Aceite,
SYNLOX CUT (MINERAL),MOBILCUT 100,EXXONMOBIL,,Aceite,
SYNLOX SOLSYN (SINTÉTICO SOLUBLE),MOBILCUT 350,EXXONMOBIL,,Aceite,
SYNLOX SOLAL DIRECTO (MINERAL),MOBILCUT 250,EXXONMOBIL,,Aceite,
"SYNLOX HYDRA PROTEC NF (SINTÉTICO GLICOL-AGUA) (ISO 32,46 Y 68)",NYVAC FR 200D,EXXONMOBIL,,Aceite,
"SYNLOX HYDRA POLIOLESTER NF (SINTÉTICO POLIOLESTER) (ISO 15,32,46,68)","MOBIL EAL ARCTIC SERIES (SINTÉTITO POLIOLESTER) (ISO 22,32,46 Y 68)",EXXONMOBIL,,Aceite,
"SYNLO EXPOSED GEAR SERIE M (SINTÉTICO ISO 7M, 16M,22M Y 46M)",MOBIL SHC GEAR(SINTÉTICO) (ISO 22M Y 46M),EXXONMOBIL,,Aceite,
"SYNLOX SYNPAG SERIES (SINTÉTICO PAG ISO 150,220, 320 Y 460)","MOBIL GLYGOYLE SERIES (SINTÉTICO PAG) (ISO 150, 220, 320 Y 460)",EXXONMOBIL,,Aceite,
"SYNLOX GEAR FG OIL (H1) (MINERAL) (ISO 150,220, 320 Y 460)",LFFT 220(H1)(ÉSTER)(ISO 220)  LFFM 100(H1)(PAO)(ISO 100),SKF,,Aceite,
SYNLOX SYNPLEX CHAIN (SINTÉTICO) (ISO 220),LHHT 250(ÉSTER)(ISO 220),SKF,,Aceite,
"SYNLOX SYNPLEX MOLY CHAIN (MOLY) (MINERAL) (SAE10,20,30 Y 40)",LHMT 68(MINERAL)(ISO 68),SKF,,Aceite,
"SYNLOX GEAR FG OIL (H1) (MINERAL) (ISO 150,220, 320 Y 460)","•	FOODLUBRE HI TORQUE(H1)(PAO)(ISO 150,220,320 Y 460)",ROCOL,,Aceite,
"SYNLOX GEAR FG OIL (H1) (MINERAL) (ISO 150,220, 320 Y 460)",ACEITE LUBRICANTE FOO LUBE PARA CADENAS(H1)(PAO)(ISO 150),,,Aceite,
SYNLOX HYDRA FG OIL (H1) (MINERAL) (ISO 46 Y 68),"•	FOODLUBE HI-POWER(H1)(PAO)(ISO 22,32,46,68 Y 100)",ROCOL,,Aceite,
SYNLOX HYDRA FG OIL (H1) (MINERAL) (ISO 46 Y 68),ACEITE PARA BOMBAS DE VACIO(H1)(PAO)(ISO 46 Y 68),,,Aceite,
SYNLOX AERO FG (H1) (MINERAL) (ISO 32),AEROSOL LUBRICANTE FOO LUBE PARA CADENAS(H1)(ÉSTERES Y GLICÉRIDOS)(ISO 150),ROCOL,,Aceite,
"SYNLOX SYNPLEX MOLY CHAIN (MOLY) (MINERAL) (SAE10,20,30 Y 40)",FLUIDO PARA CADENAS Y TRANSMISIONES(MINERAL)(ISO 100),ROCOL,,Aceite,
SYNLOX SYNPLEX MOLY CHAIN (AEROSOL) (MOLY) (MINERAL) (ISO 46),AEROSOL PARA CADENAS Y TRANSMISIONES(MINERAL)(MOLY)(ISO 68),ROCOL,,Aceite,
"SYNLOX GEAR OIL (FÓSFORO) (MINERAL) (SAE 75,80W90,85W140)",,ROCOL,,Aceite,
"SYNLOS SYNGEAR OIL (SINTÉTICO) (ISO 150,220,320,460,680 Y 1000)","SAPPHIRE HI TORQUE(SINTÉTICO)(ISO 150,220,320,460,680)",ROCOL,,Aceite,
"SYNLOS UNIVERSAL GEAR (AZUFRE) (MINERAL) (ISO 150, 220, 320 Y 460)",,ROCOL,,Aceite,
"SYNLOX HYDRA EP (MINERAL) (SAE 10,20,30 Y 40)","SAPPHIRE HI-POWER(MINERAL)(ISO 22,32,46,68 Y 100)",ROCOL,,Aceite,
"SYNLOX HYDRA SPIN(MINERAL)(ISO 10, 15 Y 22)",,ROCOL,,Aceite,
"SYNLOX PRESSURE R&O (MINERAL) (SAE 10,20,30 Y 40)","SAPPHIRE HI-POWER(MINERAL)(ISO 22,32,46,68 Y 100)",ROCOL,,Aceite,
"SYNLOX SYNPRESSURE (SINTÉTICO) (SAE 10,20 Y 30)",ACEITES PARA COMPRESORES DE REFRIGERACIPON ROCOL,ROCOL,,Aceite,
"SYNLO EXPOSED GEAR SERIE M (SINTÉTICO ISO 7M, 16M,22M Y 46M)",HT70(PAO)(MOLY),ROCOL,,Aceite,
,OKS 30(MOLY)(70)(Ester),OKS,,Aceite,
,OKS 300,OKS,,Aceite,
,OKS 310,OKS,,Aceite,
,OKS 340,OKS,,Aceite,
,OKS 341,OKS,,Aceite,
,OKS 350,OKS,,Aceite,
,OKS 353,OKS,,Aceite,
,OKS 3521,OKS,,Aceite,
,OKS 353,OKS,,Aceite,
,OKS 354,OKS,,Aceite,
,OKS 3541,OKS,,Aceite,
,OKS 370,OKS,,Aceite,
,OKS 371,OKS,,Aceite,
,OKS 387,OKS,,Aceite,
,OKS 389,OKS,,Aceite,
,OKS 391,OKS,,Aceite,
,OKS 450,OKS,,Aceite,
,OKS 451,OKS,,Aceite,
,OKS 600,OKS,,Aceite,
,OKS 601,OKS,,Aceite,
,OKS 641,OKS,,Aceite,
,OKS 670,OKS,,Aceite,
,OKS 671,OKS,,Aceite,
,OKS 700,OKS,,Aceite,
,OKS 701,OKS,,Aceite,
,OKS 701,OKS,,Aceite,
,OKS 1010/1,OKS,,Aceite,
,OKS 1010/2,OKS,,Aceite,
,OKS 1020/2,OKS,,Aceite,
,OKS 1035/1,OKS,,Aceite,
,OKS 1050/0,OKS,,Aceite,
,OKS 1050/1,OKS,,Aceite,
,OKS 3570,OKS,,Aceite,
,OKS 3571,OKS,,Aceite,
,OKS 3600,OKS,,Aceite,
,OKS 3601,OKS,,Aceite,
,OKS 3710,OKS,,Aceite,
,OKS 3711,OKS,,Aceite,
,OKS 3720,OKS,,Aceite,
,OKS 3725,OKS,,Aceite,
,OKS 3730,OKS,,Aceite,
,OKS 3740,OKS,,Aceite,
,OKSA 3750,OKS,,Aceite,
,OKS 3751,OKS,,Aceite,
,OKS 3760,OKS,,Aceite,
,OKS 3770,OKS,,Aceite,
,OKS 3775,OKS,,Aceite,
,OKS 3780,OKS,,Aceite,
,OKS 3790,OKS,,Aceite,
,OKS 3790,OKS,,Aceite,
,OKS 8600,OKS,,Aceite,
,OKS 8601,OKS,,Aceite,
