SYNLOX,COMPETENCIA,MARCA,CONDICION_ESPECIAL,TIPO_LUBRICANTE,FICHA_TECNICA_URL
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 00),,SKF,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 0),,SKF,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 1),LGWM 1( LITIO)( GRADO 1),SKF,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),LGWA 2(COMPLEJO DE LITIO)(GRADO 2),SKF,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),LGMT 2(LITIO)(GRADO 2),SKF,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),LGEP 2()LITIO)(GRADO 2),SKF,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 3),LGEP 3(LITIO)(GRADO 3),SKF,,Grasa,
SYNLOX MOLY LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),LGEV 2(LITIO/CALCIO)(GRADO 2)(MOLY+GRAFITO),SKF,,Grasa,
SYNLOX MOLY LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),LGEM 2(LITIO/CALCIO)(GRADO 2)(MOLY+GRAFITO),SKF,,Grasa,
SYNLOX SANPLEX SC (SULFONATO DE CALCIO) (GRADO 2),LGFG 2(SULFONATO DE CALCIO)(GRADO 2),SKF,,Grasa,
SYNLOX LOWTEMP (COMPLEJO DE ALUMINIO) (SINTÉTICO) (GRADO 2),LGLT 2(LITIO)(GRADO 2)(SINTÉTICO),SKF,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 1),LGEP 1( LITIO/CALCIO)( GRADO 1),SKF,,Grasa,
SYNLOX XTREME EP (SULFONATO DE CALCIO)(GRADO 1),LGWM 2(SULFONATO DE CALCIO)( GRADO 1)(SINTÉTICO),SKF,,Grasa,
SYNLOX XTREME EP (SULFONATO DE CALCIO)(GRADO 2),LGWM 2(SULFONATO DE CALCIO)( GRADO 2)(SINTÉTICO),SKF,,Grasa,
SYNLOX POLIUREA EP (POLIUREA) (GRADO 2),LGHQ 2(DIUREA)(GRADO 2) LGHP2(DIUREA)(GRADO 2),SKF,,Grasa,
SYNLOX POLIUREA EP (POLIUREA) (GRADO 3),LGHQ 2(DIUREA)(GRADO 2) LGHP2(DIUREA)(GRADO 3),SKF,,Grasa,
SYNLOX FLUORINADA FG 222 (PTFE)(PFPE)(GRADO 2),LGET 2(PTFE)(PFPE)(GRADO 2),SKF,,Grasa,
SYNLOX XTREME EP (SULFONATO DE CALCIO)(GRADO 2),SHAPPHIRE 2(MEZCLA E COMPLEJOS)(GRADO 2),ROCOL,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),SAPPHIRE ADVANCE 2(COMPLEJO DE LITIO)(PTFE)(GRADO 2),ROCOL,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),SAPPHIRE PREMIER(COMPLEJO DE LITIO)(PAO)(PTFE)(GRADO 2),ROCOL,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),SAPPHIRE LO-TEMP 2( MEZCLA COMPLEJOS)(SEMI- SINTÉTICO)(GRADO 2),ROCOL,,Grasa,
SYNLOX MOLYLITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),SAPPHIRE HI LOAD 2(MEZCLA DE COMPLEJOS)(MOLY)(GRADO 2),ROCOL,,Grasa,
SYNLOX LITPLEX EP (COMPLEJO DE LITIO)(GRADO 2),SAPPHIRE HI SPEED 2(COMPLEJO DE LITIO)(SINTÉTICO)(GRADO 2),ROCOL,,Grasa,
SYNLOX BENTOPLEX SYN (BENTONITA)(MOLY)(SINTÉTICO) (GRADO 2),TUFGEAR UNIVERSAL(ARCILLA ORGANICA)(GRADO 2),ROCOL,,Grasa,
SYNLOX GRAF OPEN GEAR (COMPLEJO DE ALUMINIO) (GRADO 2),SAPPHIRE AQUA 2(COMPLEJO DE ALUMINIO)(GRADO 2),ROCOL,,Grasa,
SYNLOX SANPLEX AL (COMPLEJO DE ALUMINIO) (GRADO 000),FOOLUBE UNIVERSAL(COMPLEJO DE ALUMINIO)(PTFE)(GRADO 000),ROCOL,H1,Grasa,
SYNLOX SANPLEX AL (COMPLEJO DE ALUMINIO) (GRADO 0),FOOLUBE UNIVERSAL(COMPLEJO DE ALUMINIO)(PTFE)(GRADO 0),ROCOL,H1,Grasa,
SYNLOX SANPLEX AL (COMPLEJO DE ALUMINIO) (GRADO 2),FOOLUBE UNIVERSAL(COMPLEJO DE ALUMINIO)(PTFE)(GRADO 2),ROCOL,H1,Grasa,
SYNLOX SYN SANPLEX AL (COMPLEJO DE ALUMINIO) (GRADO 2),"FOODLUBE PREMIER 2(COMPLEJO DE ALUMINIO)(PAO)(PTFE)(GRADO 00,1 Y 2)",ROCOL,H1,Grasa,
EN PROCESO,FOODLUBE XTREME 2(ARCILLA INORGANICA)(PAO)(GRADO 2),ROCOL,H1,Grasa,
EN PROCESO,FOODLUBE ULTRA(ARCILLA INORGANICA)(PAO)(GRADO 2/3),ROCOL,H1,Grasa,
EN PROCESO,FOOLUBE HI TEMP 2(SILICA)(SILICONE)(PTFE)(GRADO 2),ROCOL,H1,Grasa,
,SAPPHIRE ENDURE(PTFE)(PERFLUOROPOLYETER)(GRADO 2),ROCOL,,Grasa,
SYNLOX BENTOPLEX (BENTONITA)(MOLY) (GRADO 2),SAPPHIRE HI PRESSURE(ARCILLA INORGANICA)(MOLY)(GRADO 2),ROCOL,,Grasa,
,SAPPHIRE EXTREME(ARCILLA ORGANICA)(MOLY)(GRADO 2),ROCOL,,Grasa,
SYNLOX WIRE BIO (VEGETAL) (ISO 5000) (GRADO 000),WIRE ROPE DRESSING(ARCILLA ORGANICA)(MOLY)(GRADO 00),ROCOL,,Grasa,
,RT 15(PTFE)(PFPE)(GRADO 2),ROCOL,,Grasa,
,FOMBLIN UT18 GREAS( PFTE)(PTFE)(GRADO 2),ROCOL,,Grasa,
,YVAC-3(PFTE)(PTFE)(GRADO 2),ROCOL,,Grasa,
,SAPPHIRE ENDURE(PTFE)(PFTE)(GRADO 2),ROCOL,,Grasa,
,FOODLUBE ENDURE 00(H1)(PTFE)(PFPE)(GRADO 00),ROCOL,,Grasa,
,BAKERLUBE HT,ROCOL,,Grasa,
,BARKELUBE CL,ROCOL,,Grasa,
,LGNL 2(CALCIO ANHIDRO)(GRADO 2),SKF,,Grasa,
,LGHC 2(SULFONATO DE CALCIO)(GRADO 2),SKF,,Grasa,
